Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
MERCEDES-BENZ AMG CLS53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KMBXV03.0HY2,small car,6,21,27,23,5,No,379
MERCEDES-BENZ AMG CLS53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KMBXV03.0HY2,small car,6,21,27,23,5,No,379
MERCEDES-BENZ AMG E53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KMBXV03.0HY2,midsize car,6,21,28,24,5,No,370
MERCEDES-BENZ AMG E53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KMBXV03.0HY2,small car,6,20,26,23,5,No,394
MERCEDES-BENZ AMG E53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,KMBXV03.0HY2,small car,6,21,28,23,5,No,381
MERCEDES-BENZ AMG E53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KMBXV03.0HY2,midsize car,6,21,28,24,5,No,370
MERCEDES-BENZ AMG E53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KMBXV03.0HY2,small car,6,20,26,23,5,No,394
MERCEDES-BENZ AMG E53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,KMBXV03.0HY2,small car,6,21,28,23,5,No,381
MERCEDES-BENZ AMG E63 S 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KMBXV04.0U2A,midsize car,3,15,23,18,3,No,509
MERCEDES-BENZ AMG E63 S 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KMBXV04.0U2A,station wagon,3,16,23,19,3,No,480
