Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
LAND ROVER Range Rover Sport,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT03.0FSP,standard SUV,7,17,23,19,3,No,468
LAND ROVER Range Rover Sport,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT03.0FSP,standard SUV,7,17,23,19,3,No,468
LAND ROVER Range Rover Sport,5.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KJLXT05.0FSN,standard SUV,3,17,22,19,3,No,474
LAND ROVER Range Rover Sport,5.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXT05.0FSN,standard SUV,3,17,22,19,3,No,474
LAND ROVER Range Rover Sport MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXT03.0HTR,standard SUV,7,19,25,21,4,No,425
LAND ROVER Range Rover Sport MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXT03.0HTR,standard SUV,7,19,25,21,4,No,425
LAND ROVER Range Rover Sport SVR,5.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KJLXT05.0FSN,standard SUV,3,15,20,16,2,No,540
LAND ROVER Range Rover Sport SVR,5.0,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXT05.0FSN,standard SUV,3,15,20,16,2,No,540
LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,KJLXJ02.0STY,small SUV,1,26,30,28,5,No,369
LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,KJLXJ02.0STY,small SUV,1,26,30,28,5,No,369
